primary_track,program_duration_days,placed,employment_status,highest_level_of_education,length_of_job_search,biggest_challenge_in_search,professional_experience,work_authorization_status,number_of_interviews,number_of_applications,gender,race,cohort_tag_month,cohort_tag_fortnight
1,0.0,0,2,4,3,1,3,2,0.0,0,2,2,1,1
3,0.0,0,0,0,3,2,3,2,5.0,25,2,1,1,1
4,89.0,1,5,0,0,5,0,4,10.0,100,2,2,1,0
4,0.0,0,1,4,0,8,1,5,5.0,100,2,2,1,0
4,0.0,0,1,4,3,4,1,5,0.0,9,2,0,1,1
4,19.0,0,2,0,3,2,0,2,4.0,15,1,3,1,0
4,13.0,0,1,4,3,2,1,2,0.0,10,2,0,11,0
3,0.0,0,5,4,0,5,0,8,0.0,3,2,3,1,1
0,158.0,0,5,4,1,6,2,2,5.0,50,2,1,1,2
1,12.0,0,0,0,2,4,0,5,3.0,10,2,4,10,0
3,52.0,0,2,0,0,6,3,2,4.0,40,2,6,10,0
0,13.0,0,1,0,0,2,0,2,0.0,70,2,3,1,0
4,11.0,0,4,4,1,5,1,4,1.0,9,2,0,9,0
4,93.0,0,0,0,2,5,0,2,1.0,10,1,2,1,0
3,193.0,1,5,4,2,5,0,2,5.0,4,2,6,9,1
1,0.0,0,0,7,0,5,1,5,0.0,20,0,2,9,1
4,12.0,0,5,0,1,8,2,2,0.0,20,1,2,9,0
3,0.0,0,1,0,2,5,3,2,1.0,45,2,6,4,0
1,13.0,0,5,4,0,4,0,4,0.0,110,1,3,4,1
4,73.0,1,4,4,3,1,0,3,0.0,1,2,2,9,0
4,286.0,0,4,0,0,5,0,4,0.0,15,1,2,9,0
4,5.0,0,4,5,2,1,2,2,5.0,30,1,8,4,1
0,19.0,0,4,4,3,0,1,4,3.0,9,1,2,9,0
1,7.0,0,0,4,0,5,0,2,6.0,80,1,2,2,0
4,83.0,1,1,4,1,2,2,4,1.0,15,2,5,9,0
3,0.0,0,4,4,0,5,0,4,0.0,25,1,7,4,0
3,13.0,0,5,0,2,3,1,2,1.0,60,1,2,4,0
3,12.0,0,5,0,0,5,1,2,3.0,100,2,3,1,1
4,14.0,0,1,0,3,3,3,4,0.0,50,1,7,1,0
4,16.0,0,1,0,3,5,3,2,0.0,35,2,1,1,0
1,15.0,0,5,0,3,8,3,2,2.0,7,2,6,5,1
4,76.0,1,4,4,3,2,1,4,0.0,30,1,2,1,0
4,26.0,0,4,4,0,8,1,4,7.0,6,0,7,10,0
4,0.0,0,4,1,3,2,1,2,5.0,60,1,2,0,0
4,0.0,0,4,0,0,0,3,5,2.0,2,2,7,4,0
4,0.0,0,5,5,1,8,3,2,10.0,50,1,1,1,1
1,0.0,0,5,0,1,2,0,2,1.0,80,1,6,11,0
0,223.0,1,1,5,3,4,2,2,1.0,2,1,2,10,0
4,65.0,1,5,0,0,4,0,4,0.0,0,1,0,11,2
0,305.0,1,4,0,1,5,0,2,1.0,70,2,7,10,1
4,187.0,1,0,0,0,8,3,4,1.0,4,2,8,4,0
0,142.0,1,4,4,0,5,0,4,4.0,7,1,6,7,0
0,101.0,1,3,0,2,2,0,4,0.0,15,1,7,3,0
4,266.0,1,1,0,0,4,3,2,1.0,20,2,2,3,1
4,170.0,1,1,4,1,5,0,2,5.0,3,2,7,0,0
4,332.0,1,4,0,1,2,0,2,0.0,8,2,7,1,0
4,0.0,0,4,4,3,5,3,2,1.0,6,1,6,3,0
4,153.0,1,0,0,3,5,2,2,1.0,30,2,7,2,0
4,156.0,1,5,0,1,6,0,2,1.0,4,2,7,2,0
4,27.0,0,0,0,4,5,1,0,2.0,3,1,7,4,0
4,143.0,1,4,0,0,2,1,8,1.0,40,2,4,7,1
4,73.0,1,4,4,0,2,3,2,2.0,15,2,2,4,1
4,243.0,1,4,0,3,2,0,8,5.0,4,2,3,4,0
1,0.0,0,4,4,2,5,0,10,0.0,3,1,7,7,0
1,178.0,1,3,4,0,5,1,2,3.0,80,1,2,7,1
0,233.0,0,2,0,0,5,0,5,1.0,15,2,7,7,1
1,45.0,1,0,4,0,2,0,2,1.0,140,1,2,3,0
4,192.0,1,4,4,3,6,0,10,3.0,80,1,7,2,0
1,87.0,1,4,1,3,0,1,8,5.0,35,2,6,4,0
4,243.0,1,5,4,0,5,1,2,3.0,25,1,0,2,0
4,271.0,1,4,0,2,2,1,2,0.0,80,2,7,1,0
4,129.0,1,4,0,0,6,3,4,4.0,10,2,7,4,0
4,110.0,1,3,4,0,3,3,10,2.0,40,2,7,4,0
4,36.0,1,3,0,3,1,1,10,2.0,20,2,6,2,0
4,317.0,1,2,4,2,6,1,2,4.0,35,1,4,10,0
4,10.0,1,3,1,3,3,2,4,0.0,10,2,6,10,0
4,171.0,0,4,0,3,5,2,4,1.0,10,0,2,10,1
4,62.0,1,4,0,3,5,1,2,0.0,4,2,2,11,2
4,69.0,1,4,4,0,8,0,8,0.0,7,2,2,10,0
4,177.0,1,4,0,2,6,1,4,1.0,2,2,4,10,0
4,37.0,1,5,4,1,1,1,10,0.0,70,2,7,4,1
4,38.0,1,4,4,1,8,3,2,1.0,70,2,7,7,0
4,274.0,0,1,0,1,8,0,4,1.0,20,1,2,2,0
4,284.0,0,4,0,0,2,1,9,7.0,3,2,2,11,2
0,178.0,1,1,0,0,8,0,0,6.0,5,1,7,0,0
4,59.0,1,4,5,0,6,3,4,1.0,70,1,2,2,0
4,16.0,0,5,1,0,3,0,2,4.0,45,2,7,6,1
4,97.0,1,0,0,4,3,3,2,3.0,45,1,2,11,1
4,144.0,1,4,4,0,8,3,4,1.0,15,2,3,9,0
0,47.0,1,4,0,0,6,1,4,1.0,4,1,2,7,1
3,234.0,1,1,5,3,6,0,4,2.0,0,2,7,4,0
4,24.0,0,5,0,3,5,0,2,1.0,70,2,6,11,0
4,296.0,0,3,4,2,5,4,10,3.0,15,0,7,11,1
4,170.0,0,1,4,3,6,0,4,1.0,15,2,7,4,1
1,184.0,0,1,5,3,5,3,4,0.0,0,2,3,4,0
0,282.0,0,0,5,0,3,0,4,0.0,10,1,6,11,2
4,310.0,0,4,4,3,6,1,4,1.0,60,2,2,11,0
1,163.0,1,4,4,0,3,2,4,6.0,6,1,2,7,0
4,177.0,1,4,0,0,2,3,3,6.0,60,1,7,11,2
4,72.0,0,0,4,1,2,0,4,1.0,20,0,2,0,1
4,240.0,0,4,4,0,4,0,2,0.0,60,2,6,9,0
4,93.0,0,4,4,0,3,3,2,1.0,15,1,2,0,0
3,268.0,0,4,4,4,1,1,4,0.0,140,2,2,10,0
4,110.0,1,3,0,1,8,1,2,0.0,20,2,7,10,0
1,219.0,0,4,0,0,2,4,3,2.0,60,2,8,2,0
1,156.0,0,4,7,3,5,3,4,1.0,70,0,7,3,0
4,53.0,1,4,0,3,5,2,2,10.0,30,1,6,10,1
4,128.0,0,2,4,3,2,0,2,2.0,190,1,3,7,0
3,0.0,0,4,0,3,1,1,10,1.0,30,1,2,10,0
4,137.0,0,4,0,3,6,3,2,1.0,80,2,6,2,0
4,13.0,0,3,0,0,5,3,4,0.0,30,2,8,8,0
4,116.0,1,4,0,3,6,3,5,0.0,3,1,2,11,1
4,272.0,1,5,0,3,1,0,5,3.0,80,2,7,10,1
4,107.0,1,0,4,2,0,1,2,0.0,25,2,2,10,0
4,184.0,0,1,4,2,5,2,2,1.0,25,2,7,4,0
4,128.0,0,5,0,3,2,1,7,0.0,7,2,7,7,0
5,32.0,0,2,0,3,5,4,0,2.0,10,0,2,7,1
3,296.0,0,1,0,0,8,3,4,0.0,5,2,7,11,1
4,19.0,1,2,0,1,5,3,3,4.0,40,2,7,10,1
4,135.0,1,5,0,0,2,1,4,4.0,10,2,7,10,0
4,97.0,1,4,0,3,5,0,2,2.0,20,2,6,10,1
4,48.0,1,2,4,4,4,3,2,1.0,80,2,2,11,0
0,156.0,0,5,0,0,2,1,4,0.0,45,0,2,3,0
3,254.0,0,0,4,3,6,0,4,6.0,9,0,6,10,1
4,40.0,1,5,5,1,5,0,10,1.0,35,2,3,10,1
1,142.0,0,5,4,3,5,4,2,2.0,45,2,6,3,1
4,41.0,1,5,4,1,2,1,2,0.0,10,2,7,1,0
4,123.0,1,3,0,3,3,0,2,0.0,40,2,2,10,0
3,296.0,0,4,0,3,9,0,10,2.0,40,0,8,11,1
3,184.0,0,0,5,3,6,3,2,2.0,5,2,7,4,0
4,219.0,0,4,0,1,7,3,10,0.0,10,2,2,2,0
4,170.0,0,3,4,0,5,3,4,1.0,110,0,1,4,1
4,310.0,0,5,1,3,1,1,1,1.0,60,1,0,11,0
4,87.0,1,4,0,1,9,0,10,3.0,7,2,7,1,0
4,47.0,1,2,1,1,5,1,6,1.0,70,2,6,11,0
4,206.0,0,5,0,0,3,3,4,0.0,8,1,6,11,1
1,151.0,0,1,0,4,5,4,6,5.0,70,2,6,7,1
4,195.0,1,4,0,4,5,0,3,0.0,50,2,4,4,0
4,185.0,0,2,0,0,3,3,4,0.0,60,2,8,9,0
4,18.0,1,3,1,0,2,3,8,2.0,6,2,6,2,0
1,150.0,1,5,0,3,2,1,4,5.0,0,1,6,3,0
4,128.0,1,5,0,0,5,3,2,0.0,25,0,7,5,0
0,250.0,1,4,4,4,6,0,2,4.0,3,2,2,11,0
3,0.0,0,0,0,2,4,1,2,0.0,8,1,6,7,1
4,37.0,1,5,4,4,5,3,5,2.0,20,2,6,3,0
4,67.0,1,1,0,1,5,0,2,0.0,15,2,2,6,1
1,20.0,0,4,4,0,5,1,4,3.0,15,2,7,6,1
4,83.0,1,5,0,2,3,3,4,0.0,6,1,2,5,0
4,2.0,0,3,0,2,5,2,4,5.0,15,2,7,5,0
4,0.0,0,4,0,0,5,0,6,2.0,30,2,6,5,0
4,0.0,0,3,4,1,2,0,2,1.0,120,2,6,7,1
1,139.0,1,1,0,1,3,1,4,1.0,130,1,7,4,0
4,79.0,1,0,4,0,5,0,4,0.0,25,2,7,3,0
4,72.0,1,5,0,3,5,2,8,0.0,20,2,2,1,2
4,110.0,1,1,0,0,5,3,0,0.0,15,2,7,0,0
4,241.0,0,1,4,1,1,0,4,1.0,90,1,6,11,1
4,250.0,1,4,0,3,5,3,5,0.0,35,2,6,9,0
4,119.0,1,4,0,0,2,1,2,1.0,1,2,2,1,0
4,143.0,1,1,0,1,5,1,0,0.0,2,2,7,4,1
0,0.0,0,3,0,0,6,2,4,3.0,35,1,3,7,0
0,247.0,1,2,4,3,1,1,4,1.0,30,1,2,10,0
4,53.0,1,4,0,1,5,3,2,0.0,15,1,7,7,0
4,181.0,1,5,4,0,1,3,2,1.0,10,2,6,3,0
1,0.0,0,1,0,1,1,3,2,1.0,80,1,2,7,0
4,81.0,1,2,0,0,5,0,0,0.0,8,2,7,4,1
0,95.0,1,5,0,1,2,3,5,3.0,90,2,6,9,0
4,145.0,1,2,4,0,4,3,4,1.0,50,2,2,2,0
4,360.0,1,4,1,0,2,0,5,0.0,190,2,6,9,0
3,303.0,1,5,5,2,3,1,4,0.0,6,2,6,11,0
1,68.0,1,1,0,3,5,2,4,0.0,7,1,7,4,0
1,0.0,0,1,7,3,5,0,2,0.0,4,2,2,4,1
4,41.0,1,4,0,3,5,0,2,2.0,15,2,7,4,1
4,234.0,0,2,0,3,8,1,2,7.0,25,2,2,3,1
3,114.0,1,4,0,1,3,0,4,1.0,10,2,6,10,0
1,430.0,0,1,0,3,0,3,2,0.0,6,1,7,2,0
4,186.0,1,1,0,1,5,3,5,0.0,0,1,2,9,0
4,208.0,1,5,0,0,1,0,2,0.0,10,2,2,11,0
4,234.0,1,4,4,0,8,3,2,1.0,35,2,3,2,0
4,232.0,1,1,0,3,5,1,2,0.0,45,2,2,11,1
4,150.0,1,1,0,0,2,0,2,5.0,6,2,4,2,0
4,111.0,1,4,4,0,9,0,3,0.0,120,2,7,5,0
0,138.0,1,5,0,4,8,3,2,1.0,25,1,2,10,0
4,217.0,1,4,7,1,2,3,4,3.0,130,2,6,1,0
1,31.0,0,4,0,4,5,4,10,1.0,0,0,2,5,1
0,274.0,0,4,0,1,3,0,4,0.0,5,1,2,7,0
4,520.0,0,4,4,1,1,2,2,4.0,15,2,0,10,0
4,202.0,1,4,0,3,8,0,2,1.0,40,1,7,10,1
3,160.0,1,5,4,3,6,3,5,0.0,190,1,0,4,0
1,88.0,1,4,0,0,6,1,2,0.0,7,2,6,3,0
4,276.0,0,1,4,3,9,0,3,1.0,35,1,7,1,0
4,59.0,1,1,5,1,5,1,2,1.0,90,2,2,0,0
4,194.0,1,2,4,1,2,1,2,2.0,15,2,7,4,1
4,101.0,1,0,0,3,2,2,4,5.0,70,2,7,3,0
1,145.0,1,4,0,0,1,1,5,0.0,45,1,2,0,0
4,44.0,1,3,5,3,5,1,2,0.0,15,2,6,4,1
4,18.0,0,4,1,3,5,0,2,0.0,7,1,2,6,1
4,179.0,1,4,5,0,2,3,2,2.0,60,2,2,3,0
4,145.0,1,4,0,3,5,0,4,1.0,45,1,6,9,0
0,75.0,1,3,0,0,3,3,4,1.0,30,1,2,7,1
1,181.0,1,1,0,3,2,1,2,3.0,120,1,6,6,0
1,47.0,1,3,1,1,8,0,2,2.0,20,2,7,7,0
0,0.0,0,1,0,3,8,3,4,1.0,60,2,6,2,0
4,145.0,1,1,4,1,0,0,4,1.0,15,1,6,3,1
4,495.0,1,4,0,0,5,0,2,1.0,10,2,7,0,0
0,86.0,1,2,0,3,1,2,4,0.0,6,2,2,4,1
1,248.0,1,2,0,3,6,1,2,0.0,90,1,6,7,0
4,515.0,1,0,4,0,5,2,2,0.0,10,2,2,3,0
4,478.0,0,0,0,3,5,2,5,4.0,15,0,2,11,1
4,242.0,1,4,4,3,5,4,3,0.0,25,1,6,6,0
3,11.0,0,4,4,3,5,0,4,0.0,9,0,2,6,1
4,254.0,0,4,0,3,3,0,4,1.0,35,1,7,10,1
4,254.0,0,4,0,2,5,0,4,1.0,20,2,2,10,1
4,136.0,1,4,0,3,5,0,5,2.0,70,1,7,11,2
4,254.0,0,4,4,3,5,4,2,0.0,10,2,2,10,1
3,254.0,0,3,4,0,5,0,2,1.0,5,2,7,10,1
4,26.0,0,1,0,2,9,1,4,1.0,9,2,7,0,1
4,142.0,0,1,0,3,8,3,2,3.0,4,1,2,3,1
3,128.0,0,5,0,3,3,3,4,1.0,25,1,2,7,0
3,156.0,0,1,0,4,8,3,4,0.0,8,2,2,3,0
0,282.0,0,3,0,0,5,2,6,4.0,15,0,0,11,2
4,282.0,0,1,0,3,0,4,5,1.0,20,2,4,11,2
4,184.0,0,4,4,2,5,0,2,0.0,10,1,2,4,0
1,83.0,1,3,0,0,5,0,2,1.0,50,1,6,4,0
1,59.0,1,1,4,0,8,0,0,0.0,9,1,6,11,2
4,401.0,0,4,4,3,1,1,4,0.0,10,2,2,6,0
4,101.0,1,3,0,1,2,0,2,5.0,50,2,2,7,0
4,244.0,1,5,0,0,5,3,4,0.0,9,2,6,0,0
4,75.0,1,3,0,1,5,0,4,2.0,60,1,7,0,1
4,58.0,1,1,4,2,6,2,2,0.0,0,2,6,0,1
4,52.0,1,5,4,3,0,0,2,3.0,40,2,3,8,0
4,317.0,1,2,4,0,5,0,2,1.0,40,2,2,8,0
4,436.0,1,5,7,2,5,0,2,2.0,3,2,2,6,0
4,73.0,1,5,0,4,1,3,2,0.0,15,2,7,6,0
4,354.0,0,4,4,0,5,1,10,4.0,30,2,7,6,0
4,94.0,1,2,5,3,2,0,2,3.0,3,2,7,6,0
4,420.0,0,5,0,1,4,2,10,0.0,35,0,7,6,0
4,354.0,0,5,0,2,2,0,2,0.0,60,2,2,6,0
4,283.0,1,4,4,3,2,3,2,1.0,4,2,7,6,0
4,332.0,1,4,4,1,4,3,4,6.0,45,2,8,1,0
4,285.0,0,3,7,3,2,3,2,1.0,15,2,6,1,0
4,254.0,1,1,0,0,5,1,4,0.0,45,2,7,1,0
4,60.0,1,4,4,0,8,0,2,1.0,1,1,4,1,0
0,458.0,0,3,1,0,4,1,8,1.0,35,0,2,11,0
4,207.0,1,4,3,3,1,2,2,0.0,25,1,7,11,0
4,209.0,1,1,0,0,5,3,8,1.0,6,2,6,11,0
4,319.0,0,5,0,0,5,1,2,2.0,5,2,3,11,1
0,246.0,0,5,1,0,1,3,10,2.0,30,0,0,11,1
4,345.0,0,1,0,1,5,4,2,0.0,7,2,4,11,1
4,325.0,1,5,4,3,5,0,2,0.0,35,2,2,11,2
0,249.0,1,5,0,0,6,3,10,6.0,4,2,7,11,2
4,298.0,1,0,0,2,2,1,2,4.0,50,2,2,10,0
4,269.0,1,5,4,1,2,3,10,0.0,140,2,6,10,0
4,0.0,0,4,1,0,5,1,2,3.0,150,1,6,10,1
4,226.0,1,3,0,2,5,0,4,0.0,10,2,7,10,1
4,41.0,1,4,4,3,6,0,10,1.0,4,2,6,10,1
4,54.0,1,1,0,0,3,1,4,2.0,15,2,6,10,1
4,263.0,1,2,0,3,5,0,2,0.0,9,1,2,9,0
4,306.0,0,5,0,3,5,0,4,1.0,8,2,2,9,0
0,347.0,0,3,0,2,6,0,3,3.0,20,1,7,9,0
4,166.0,1,5,4,0,6,3,3,0.0,0,2,6,9,0
4,206.0,0,3,4,3,1,2,2,0.0,40,2,2,9,0
0,272.0,0,1,0,0,8,2,2,6.0,8,2,7,9,0
4,277.0,1,5,4,0,5,0,5,1.0,50,2,2,2,0
0,89.0,1,3,0,3,4,3,2,4.0,35,2,2,2,0
1,305.0,0,4,0,0,3,1,10,3.0,70,2,7,2,0
4,81.0,1,1,0,0,0,0,2,2.0,15,1,6,2,0
4,174.0,1,1,0,4,8,2,2,1.0,70,2,7,2,0
4,230.0,1,0,0,1,1,3,0,2.0,15,2,2,2,0
4,94.0,1,4,4,0,8,3,5,0.0,50,2,2,4,0
1,129.0,0,4,0,1,5,0,2,1.0,10,1,6,4,0
4,0.0,0,5,4,0,4,3,4,0.0,70,2,6,4,0
4,163.0,1,4,0,3,3,3,4,0.0,15,2,6,4,0
4,214.0,1,5,0,3,3,0,2,0.0,9,2,2,4,0
3,512.0,0,4,0,0,4,0,4,0.0,25,1,8,4,0
4,83.0,1,2,2,2,6,1,8,1.0,20,2,7,4,0
4,227.0,1,5,0,3,7,3,4,2.0,3,2,2,4,0
4,276.0,0,1,0,0,4,3,2,0.0,20,1,0,4,0
4,86.0,1,5,0,3,5,2,2,0.0,10,2,2,4,0
4,434.0,0,1,0,1,3,0,3,1.0,15,2,6,4,0
4,24.0,1,1,0,0,4,3,5,1.0,30,1,4,4,1
4,138.0,1,5,0,3,6,2,2,0.0,10,2,6,1,1
4,94.0,1,2,4,0,5,3,4,1.0,160,2,3,4,1
4,225.0,0,1,4,1,4,0,2,1.0,35,2,6,4,1
1,286.0,0,4,4,0,3,3,5,5.0,4,2,6,4,1
4,221.0,1,4,4,3,8,2,10,3.0,80,2,2,4,1
4,0.0,0,3,0,3,1,3,4,1.0,35,1,6,4,1
4,62.0,1,5,4,3,5,1,10,1.0,10,2,7,3,0
3,76.0,1,5,4,2,6,2,2,0.0,25,2,6,3,0
0,87.0,0,4,0,3,5,3,6,3.0,15,1,7,3,1
4,174.0,1,5,0,3,2,1,2,6.0,15,2,2,3,1
4,298.0,1,5,5,0,8,0,5,4.0,15,2,8,3,1
4,143.0,1,2,0,1,3,1,5,0.0,40,2,8,3,1
4,177.0,1,5,0,0,5,3,4,0.0,20,2,7,3,1
4,293.0,1,4,1,0,5,0,4,4.0,70,2,7,3,1
4,177.0,1,4,0,3,6,0,10,4.0,20,2,6,7,0
4,142.0,1,2,4,1,5,3,4,0.0,4,2,6,7,0
4,106.0,1,1,0,0,6,0,5,2.0,4,2,2,7,0
4,284.0,0,3,2,0,5,1,4,2.0,15,1,2,7,0
4,0.0,0,4,0,3,5,3,5,0.0,15,2,7,7,0
1,300.0,0,5,0,1,4,3,4,0.0,25,2,2,4,0
4,37.0,1,4,4,0,5,2,8,1.0,20,2,6,4,0
4,95.0,1,3,0,3,2,2,8,0.0,30,2,6,4,0
1,300.0,0,4,0,0,6,0,4,1.0,20,1,2,4,1
1,122.0,1,1,0,0,8,2,6,1.0,50,1,6,3,0
0,207.0,1,5,1,0,5,0,4,5.0,60,1,2,3,0
1,110.0,0,5,0,0,5,0,4,1.0,60,2,2,3,0
4,99.0,1,1,0,3,3,3,0,1.0,80,2,2,8,0
4,0.0,0,2,4,1,5,0,4,0.0,8,2,2,7,0
0,261.0,0,5,0,3,6,1,3,0.0,5,2,6,7,0
4,9.0,1,1,4,3,8,3,5,0.0,15,2,8,7,0
4,107.0,1,0,0,1,5,1,4,0.0,5,2,6,7,0
4,451.0,0,4,4,1,2,1,6,1.0,5,2,4,7,0
4,86.0,1,4,0,3,2,1,2,5.0,3,2,2,7,1
1,272.0,1,2,4,0,5,3,4,2.0,90,2,2,7,1
4,141.0,0,1,0,1,4,1,2,2.0,190,2,6,7,1
4,222.0,0,1,1,1,5,1,2,2.0,40,2,2,10,0
4,101.0,1,2,0,1,5,1,4,4.0,50,2,2,7,1
4,0.0,0,4,0,3,5,1,5,2.0,2,2,6,7,1
4,86.0,1,2,0,0,6,2,8,0.0,25,2,6,0,0
0,142.0,1,0,0,1,5,0,2,2.0,30,1,7,0,0
4,115.0,1,4,0,0,2,1,10,2.0,5,2,7,0,0
4,170.0,1,5,0,3,6,3,10,2.0,10,2,0,0,0
3,249.0,0,5,0,3,3,1,2,1.0,100,2,2,0,0
4,9.0,1,5,0,0,8,3,5,0.0,4,1,0,0,0
1,139.0,1,3,0,2,6,1,10,1.0,40,2,2,0,1
4,73.0,1,5,0,0,5,3,4,0.0,10,2,2,0,1
1,226.0,1,5,4,0,8,1,2,1.0,25,2,2,0,1
